F_RING,YEAR,EXP.INC,GROUP,CS,CS_sc,brood_id,egg_index,HATCHED
DC54223,2022,Heated,EXPCON,7,0.6811298321813386,DC54223_2022_BK23A_49,1,1
DC54223,2022,Heated,EXPCON,7,0.6811298321813386,DC54223_2022_BK23A_49,2,1
DC54223,2022,Heated,EXPCON,7,0.6811298321813386,DC54223_2022_BK23A_49,3,1
DC54223,2022,Heated,EXPCON,7,0.6811298321813386,DC54223_2022_BK23A_49,4,1
DC54223,2022,Heated,EXPCON,7,0.6811298321813386,DC54223_2022_BK23A_49,5,1
DC54223,2022,Heated,EXPCON,7,0.6811298321813386,DC54223_2022_BK23A_49,6,0
DC54223,2022,Heated,EXPCON,7,0.6811298321813386,DC54223_2022_BK23A_49,7,0
DC54224,2022,Heated,EXPCON,6,-0.9141479326644292,DC54224_2022_BK4A_52,1,1
DC54224,2022,Heated,EXPCON,6,-0.9141479326644292,DC54224_2022_BK4A_52,2,1
DC54224,2022,Heated,EXPCON,6,-0.9141479326644292,DC54224_2022_BK4A_52,3,1
DC54224,2022,Heated,EXPCON,6,-0.9141479326644292,DC54224_2022_BK4A_52,4,1
DC54224,2022,Heated,EXPCON,6,-0.9141479326644292,DC54224_2022_BK4A_52,5,1
DC54224,2022,Heated,EXPCON,6,-0.9141479326644292,DC54224_2022_BK4A_52,6,1
DC54221,2022,Control,CONCON,7,0.6811298321813386,DC54221_2022_BK6A_48,1,1
DC54221,2022,Control,CONCON,7,0.6811298321813386,DC54221_2022_BK6A_48,2,1
DC54221,2022,Control,CONCON,7,0.6811298321813386,DC54221_2022_BK6A_48,3,1
DC54221,2022,Control,CONCON,7,0.6811298321813386,DC54221_2022_BK6A_48,4,1
DC54221,2022,Control,CONCON,7,0.6811298321813386,DC54221_2022_BK6A_48,5,1
DC54221,2022,Control,CONCON,7,0.6811298321813386,DC54221_2022_BK6A_48,6,1
DC54221,2022,Control,CONCON,7,0.6811298321813386,DC54221_2022_BK6A_48,7,0
DA78533,2022,Control,CONEXP,6,-0.9141479326644292,DA78533_2022_BK7A_49,1,1
DA78533,2022,Control,CONEXP,6,-0.9141479326644292,DA78533_2022_BK7A_49,2,1
DA78533,2022,Control,CONEXP,6,-0.9141479326644292,DA78533_2022_BK7A_49,3,1
DA78533,2022,Control,CONEXP,6,-0.9141479326644292,DA78533_2022_BK7A_49,4,1
DA78533,2022,Control,CONEXP,6,-0.9141479326644292,DA78533_2022_BK7A_49,5,1
DA78533,2022,Control,CONEXP,6,-0.9141479326644292,DA78533_2022_BK7A_49,6,0
DC54919,2022,Control,CONCON,6,-0.9141479326644292,DC54919_2022_FA11B_52,1,1
DC54919,2022,Control,CONCON,6,-0.9141479326644292,DC54919_2022_FA11B_52,2,1
DC54919,2022,Control,CONCON,6,-0.9141479326644292,DC54919_2022_FA11B_52,3,1
DC54919,2022,Control,CONCON,6,-0.9141479326644292,DC54919_2022_FA11B_52,4,0
DC54919,2022,Control,CONCON,6,-0.9141479326644292,DC54919_2022_FA11B_52,5,0
DC54919,2022,Control,CONCON,6,-0.9141479326644292,DC54919_2022_FA11B_52,6,0
FA16A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FA16A_2022_2022_FA16A_49,1,1
FA16A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FA16A_2022_2022_FA16A_49,2,1
FA16A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FA16A_2022_2022_FA16A_49,3,1
FA16A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FA16A_2022_2022_FA16A_49,4,1
FA16A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FA16A_2022_2022_FA16A_49,5,0
FA16A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FA16A_2022_2022_FA16A_49,6,0
DC54920,2022,Heated,EXPCON,5,-2.509425697510197,DC54920_2022_FA45A_50,1,1
DC54920,2022,Heated,EXPCON,5,-2.509425697510197,DC54920_2022_FA45A_50,2,1
DC54920,2022,Heated,EXPCON,5,-2.509425697510197,DC54920_2022_FA45A_50,3,1
DC54920,2022,Heated,EXPCON,5,-2.509425697510197,DC54920_2022_FA45A_50,4,1
DC54920,2022,Heated,EXPCON,5,-2.509425697510197,DC54920_2022_FA45A_50,5,0
DC54913,2022,Heated,EXPCON,5,-2.509425697510197,DC54913_2022_FK17A_53,1,1
DC54913,2022,Heated,EXPCON,5,-2.509425697510197,DC54913_2022_FK17A_53,2,1
DC54913,2022,Heated,EXPCON,5,-2.509425697510197,DC54913_2022_FK17A_53,3,1
DC54913,2022,Heated,EXPCON,5,-2.509425697510197,DC54913_2022_FK17A_53,4,1
DC54913,2022,Heated,EXPCON,5,-2.509425697510197,DC54913_2022_FK17A_53,5,0
DC54214,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54214_2022_FK19A_49,1,1
DC54214,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54214_2022_FK19A_49,2,1
DC54214,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54214_2022_FK19A_49,3,0
