F_RING,YEAR,SEX,EXP.INC,EXP.NEST,GROUP,D2_MASS,D8_MASS,D12_MASS,D12_RTARS,Early.g,Late.g,Growth,D12_SMI,D12_SURV,BS_sc,incubation_temperature_sc,nestling_temperature_sc
DC54223,2022,M,Heated,Control,EXPCON,3.41,12.6,14.3,16.8,1.5316666666666665,0.42500000000000027,1.089,14.403093687459712,1,-0.6884622210654885,-0.15938174172943495,1.2834054874943466
DC54223,2022,M,Heated,Control,EXPCON,3.9,12.9,14.9,17.3,1.5,0.5,1.1,13.844707187340857,1,-0.6884622210654885,-0.15938174172943495,1.2834054874943466
DC54223,2022,M,Heated,Control,EXPCON,3.6,11.8,14,16.6,1.366666666666667,0.5499999999999998,1.04,14.573015473401552,1,-0.6884622210654885,-0.15938174172943495,1.2834054874943466
DC54223,2022,F,Heated,Control,EXPCON,3.82,11.9,13.1,16.9,1.3466666666666667,0.2999999999999998,0.9279999999999999,12.980874280766354,1,-0.6884622210654885,-0.15938174172943495,1.2834054874943466
DC54223,2022,F,Heated,Control,EXPCON,3.07,NA,NA,NA,NA,NA,NA,NA,0,-0.6884622210654885,-0.15938174172943495,1.2834054874943466
DC54224,2022,F,Heated,Control,EXPCON,2.4,9.7,10,15.3,1.2166666666666666,0.07500000000000018,0.76,13.025848636331073,1,0.1677520623159571,0.04367948810438374,1.4126627308076465
DC54224,2022,F,Heated,Control,EXPCON,3.4,11.3,11.5,16.3,1.3166666666666667,0.04999999999999982,0.8099999999999999,12.586299520032028,1,0.1677520623159571,0.04367948810438374,1.4126627308076465
DC54224,2022,F,Heated,Control,EXPCON,2.7,10,10.5,16.5,1.2166666666666666,0.125,0.78,11.112870597444706,1,0.1677520623159571,0.04367948810438374,1.4126627308076465
DC54224,2022,M,Heated,Control,EXPCON,2.7,9.7,NA,NA,1.1666666666666665,NA,NA,NA,0,0.1677520623159571,0.04367948810438374,1.4126627308076465
DC54221,2022,M,Control,Control,CONCON,3.4,13.1,13.7,17,1.6166666666666665,0.1499999999999999,1.0299999999999998,13.356969286425489,1,0.1677520623159571,-0.28385071712956145,1.3606788361001412
DC54221,2022,F,Control,Control,CONCON,2.3,11.8,13.7,17.2,1.5833333333333333,0.47499999999999964,1.14,12.934237588483246,1,0.1677520623159571,-0.28385071712956145,1.3606788361001412
DC54221,2022,F,Control,Control,CONCON,2.8,NA,NA,NA,NA,NA,NA,NA,0,0.1677520623159571,-0.28385071712956145,1.3606788361001412
DC54221,2022,F,Control,Control,CONCON,4.1,13.7,14.5,17.9,1.5999999999999999,0.20000000000000018,1.04,12.267360478986841,1,0.1677520623159571,-0.28385071712956145,1.3606788361001412
