response,response_label,n,GROUP,prob,SE,df,asymp.LCL,asymp.UCL,emmean
HATCHED,Hatchability,1170,CONCON,0.8429431265541169,0.042251579338097534,Inf,0.7416915902703916,0.9093565634265245,NA
HATCHED,Hatchability,1170,CONEXP,0.834694667671495,0.04244413375924003,Inf,0.7342636340419896,0.9022236780694263,NA
HATCHED,Hatchability,1170,EXPCON,0.8362787492941101,0.044187769214893736,Inf,0.73071395025910435,0.9057954924810084,NA
HATCHED,Hatchability,1170,EXPEXP,0.890509456817681,0.03165748551284116,Inf,0.8114693514381793,0.9389073389156232,NA
D2_MASS,Body mass at day 2,860,CONCON,NA,0.10792164460220398,Inf,2.9634164553955986,3.386461528540901,3.17493899196825
D2_MASS,Body mass at day 2,860,CONEXP,NA,0.10715900864440027,Inf,2.9309093429861903,3.3509649381102715,3.140937140548231
D2_MASS,Body mass at day 2,860,EXPCON,NA,0.10945810498407264,Inf,2.8354386556185256,3.264506542788099,3.049972599203312
D2_MASS,Body mass at day 2,860,EXPEXP,NA,0.10433176195447175,Inf,3.0398877418885037,3.448860733637245,3.2443742377628744
D8_MASS,Body mass at day 8,777,CONCON,NA,0.3439808707868753,Inf,11.957068514272343,13.305448750498346,12.631258632385345
D8_MASS,Body mass at day 8,777,CONEXP,NA,0.34388932868474476,Inf,11.780218674899023,13.128240072678535,12.45422937378878
D8_MASS,Body mass at day 8,777,EXPCON,NA,0.35402531099951273,Inf,11.281362077540246,12.66911579588952,11.975238936714883
D8_MASS,Body mass at day 8,777,EXPEXP,NA,0.33389542428986924,Inf,11.440411256859162,12.749257269280891,12.094834263070027
D12_MASS,Body mass at day 12,689,CONCON,NA,0.22930888698820803,Inf,13.71292669727846,14.611801016942165,14.162363857110313
D12_MASS,Body mass at day 12,689,CONEXP,NA,0.2344680526430791,Inf,13.428301157365594,14.347399034776947,13.88785009607127
D12_MASS,Body mass at day 12,689,EXPCON,NA,0.2327825076150786,Inf,13.133038208980235,14.045528871293186,13.58928354013671
D12_MASS,Body mass at day 12,689,EXPEXP,NA,0.22154421154819604,Inf,13.529288273908506,14.39772562514408,13.963506949526293
Early.g,Early growth,759,CONCON,NA,0.05302794773687453,Inf,1.4814422168872476,1.6893079523639405,1.585375084625594
Early.g,Early growth,759,CONEXP,NA,0.05275312170892202,Inf,1.4454035883083258,1.6521920255514164,1.5487978069298711
Early.g,Early growth,759,EXPCON,NA,0.053851553479024504,Inf,1.3659739502745187,1.57706816093536,1.4715210556049394
Early.g,Early growth,759,EXPEXP,NA,0.05063637540397286,Inf,1.3718186690072427,1.570309613206116,1.4710641411066794
Late.g,Late growth,679,CONCON,NA,0.07807101855840415,Inf,0.12922836575517513,0.4352611349768356,0.2822447503660054
Late.g,Late growth,679,CONEXP,NA,0.07867949750748378,Inf,0.16269038829365068,0.4711083511664049,0.3168993697300278
Late.g,Late growth,679,EXPCON,NA,0.07934623398192532,Inf,0.1704895643660992,0.4815210861930227,0.32600532527956094
Late.g,Late growth,679,EXPEXP,NA,0.0776856603154795,Inf,0.19201699067046632,0.49653918333757097,0.34427808700401863
Growth,Whole-period growth,666,CONCON,NA,0.029946299716599636,Inf,1.0320763352340214,1.1494636730635759,1.0907700041487987
Growth,Whole-period growth,666,CONEXP,NA,0.0300408837918657,Inf,1.0035237552555016,1.1212818558471214,1.0624028055513115
Growth,Whole-period growth,666,EXPCON,NA,0.029829146866090468,Inf,0.9822194004653663,1.0991475075595525,1.0406834540124594
Growth,Whole-period growth,666,EXPEXP,NA,0.02895334624134569,Inf,0.998907155172825,1.1124021869027365,1.0556546710377808
D12_SMI,Scaled mass index at day 12,681,CONCON,NA,0.240916136997498,Inf,13.612452062938685,14.556825966557911,14.084639014748298
D12_SMI,Scaled mass index at day 12,681,CONEXP,NA,0.2450418067306649,Inf,13.36292517670122,14.323471408498675,13.843198292599947
D12_SMI,Scaled mass index at day 12,681,EXPCON,NA,0.24768406982383726,Inf,13.304964975162422,14.275868687960473,13.790416831561448
D12_SMI,Scaled mass index at day 12,681,EXPEXP,NA,0.2369723649921752,Inf,13.821343707204186,14.750258308636074,14.28580100792013
D12_RTARS,Tarsus length at day 12,682,CONCON,NA,0.14193226830523414,Inf,16.586580688953976,17.142944957198647,16.864762823076312
D12_RTARS,Tarsus length at day 12,682,CONEXP,NA,0.14316617534143658,Inf,16.630341015844078,17.1915421107912,16.91094156331764
D12_RTARS,Tarsus length at day 12,682,EXPCON,NA,0.14462621936065004,Inf,16.440576989323585,17.007501351657712,16.72403917049065
D12_RTARS,Tarsus length at day 12,682,EXPEXP,NA,0.14071720231749504,Inf,16.46828993288893,17.019891229983983,16.744090581436456
D12_SURV,Survival to day 12,885,CONCON,0.9996351215758102,4.258755529789004e-4,Inf,0.9964140271866517,0.999962980536806,NA
D12_SURV,Survival to day 12,885,CONEXP,0.9995954633844006,4.6716906635775824e-4,Inf,0.9961199975217394,0.9999579536292302,NA
D12_SURV,Survival to day 12,885,EXPCON,0.999481401969366,6.41009243992123e-4,Inf,0.9941764624616852,0.9999540411736878,NA
D12_SURV,Survival to day 12,885,EXPEXP,0.9995706571288169,4.917340197532939e-4,Inf,0.9959584590838678,0.9999545372172522,NA
