response,response_label,n,contrast,odds.ratio,SE,df,null,z.ratio,p.value,estimate
HATCHED,Hatchability,1170,CONCON / CONEXP,1.06291992946967,0.3276647224154789,Inf,1,0.19794358913510215,0.9972548983130871,NA
HATCHED,Hatchability,1170,CONCON / EXPCON,1.0507401287794806,0.33386545600909545,Inf,1,0.15576985284763192,0.998654735778562,NA
HATCHED,Hatchability,1170,CONCON / EXPEXP,0.6599019330711152,0.21168415775060617,Inf,1,-1.2957866438790953,0.5655935879658098,NA
HATCHED,Hatchability,1170,CONEXP / EXPCON,0.9885411870146547,0.30844265246709673,Inf,1,-0.03693687784290891,0.9999819089592328,NA
HATCHED,Hatchability,1170,CONEXP / EXPEXP,0.6208387995889443,0.19371902065551544,Inf,1,-1.5276961708575196,0.42080133392558106,NA
HATCHED,Hatchability,1170,EXPCON / EXPEXP,0.6280353390877386,0.20281948499234126,Inf,1,-1.4403753705687352,0.47404252320903495,NA
D2_MASS,Body mass at day 2,860,CONCON - CONEXP,NA,0.11286973613976171,Inf,NA,0.30124861263001296,0.9905080666806522,0.03400185142001885
D2_MASS,Body mass at day 2,860,CONCON - EXPCON,NA,0.11520765923496273,Inf,NA,1.0847055967873815,0.6989115387660716,0.12496639276493755
D2_MASS,Body mass at day 2,860,CONCON - EXPEXP,NA,0.11130768555287097,Inf,NA,-0.6238135798955469,0.9244756253920623,-0.06943524579462429
D2_MASS,Body mass at day 2,860,CONEXP - EXPCON,NA,0.11383540831366759,Inf,NA,0.7990882862586183,0.8548653821489249,0.0909645413449187
D2_MASS,Body mass at day 2,860,CONEXP - EXPEXP,NA,0.11036563907771361,Inf,NA,-0.9372219295700198,0.7848019911957391,-0.10343709721464314
D2_MASS,Body mass at day 2,860,EXPCON - EXPEXP,NA,0.1120273706457632,Inf,NA,-1.7353048405846343,0.3052852600412299,-0.19440163855956183
D8_MASS,Body mass at day 8,777,CONCON - CONEXP,NA,0.3486062928359423,Inf,NA,0.5078200314641975,0.9572562773380431,0.17702925859656546
D8_MASS,Body mass at day 8,777,CONCON - EXPCON,NA,0.3570716092666513,Inf,NA,1.8372216626737305,0.2558084775030156,0.6560196956704618
D8_MASS,Body mass at day 8,777,CONCON - EXPEXP,NA,0.34073955847847465,Inf,NA,1.574294372249136,0.39336511255048023,0.536424369315318
D8_MASS,Body mass at day 8,777,CONEXP - EXPCON,NA,0.3573000527351945,Inf,NA,1.3405831692638739,0.5369611844707659,0.4789904370738963
D8_MASS,Body mass at day 8,777,CONEXP - EXPEXP,NA,0.34090665351773713,Inf,NA,1.0542331955397093,0.7173769516346723,0.3593951107187525
D8_MASS,Body mass at day 8,777,EXPCON - EXPEXP,NA,0.34879883836798137,Inf,NA,-0.3428776509541331,0.9861430804386707,-0.1195953263551438
D12_MASS,Body mass at day 12,689,CONCON - CONEXP,NA,0.32395404317885157,Inf,NA,0.8473848893668121,0.8317381160813321,0.2745137610390426
D12_MASS,Body mass at day 12,689,CONCON - EXPCON,NA,0.324144895814878,Inf,NA,1.7679757552032964,0.2888596251675126,0.5730803169736027
D12_MASS,Body mass at day 12,689,CONCON - EXPEXP,NA,0.31777937925656297,Inf,NA,0.6257703317604851,0.9238303638818862,0.19885690758402044
D12_MASS,Body mass at day 12,689,CONEXP - EXPCON,NA,0.3266603288298705,Inf,NA,0.9139969858110868,0.7973883470401151,0.2985665559345601
D12_MASS,Body mass at day 12,689,CONEXP - EXPEXP,NA,0.3210414346771359,Inf,NA,-0.235660713175882,0.9953959252085564,-0.07565685345502218
D12_MASS,Body mass at day 12,689,EXPCON - EXPEXP,NA,0.32037429038361265,Inf,NA,-1.168081898648894,0.6470530772326768,-0.3742234093895823
Early.g,Early growth,759,CONCON - CONEXP,NA,0.05587590267701879,Inf,NA,0.6546163183644985,0.9139638263828692,0.03657727769572307
Early.g,Early growth,759,CONCON - EXPCON,NA,0.056816325731796555,Inf,NA,2.0038963722875485,0.18645710415780448,0.1138540290206548
Early.g,Early growth,759,CONCON - EXPEXP,NA,0.054281422341707214,Inf,NA,2.1058944034169844,0.15115202656437765,0.11431094351891488
Early.g,Early growth,759,CONEXP - EXPCON,NA,0.056404319820615105,Inf,NA,1.3700502296756358,0.5182220420406103,0.07727675132493174
Early.g,Early growth,759,CONEXP - EXPEXP,NA,0.05393748123683879,Inf,NA,1.4411808642280548,0.4735422074278205,0.07773366582319181
Early.g,Early growth,759,EXPCON - EXPEXP,NA,0.05465800808647205,Inf,NA,0.008359516093912722,0.9999997901846682,4.569144982600748e-4
Late.g,Late growth,679,CONCON - CONEXP,NA,0.06832446377615481,Inf,NA,-0.507206605785567,0.9574012493687247,-0.0346546193640224
Late.g,Late growth,679,CONCON - EXPCON,NA,0.06844117983101143,Inf,NA,-0.6393895462001835,0.919254582356486,-0.043760574913555554
Late.g,Late growth,679,CONCON - EXPEXP,NA,0.06702908891849114,Inf,NA,-0.9254688917739451,0.7912084661556301,-0.06203333663801323
Late.g,Late growth,679,CONEXP - EXPCON,NA,0.06946244989496642,Inf,NA,-0.13109177063726074,0.9991960396192603,-0.009105955549533154
Late.g,Late growth,679,CONEXP - EXPEXP,NA,0.06805800765949142,Inf,NA,-0.4022850244305171,0.9779848132759204,-0.027378717273990827
Late.g,Late growth,679,EXPCON - EXPEXP,NA,0.06786032331175045,Inf,NA,-0.26927018370532324,0.9931751038789023,-0.018272761724457673
Growth,Whole-period growth,666,CONCON - CONEXP,NA,0.0358068651843924,Inf,NA,0.7922279275609971,0.8580208867713068,0.028367198597487212
Growth,Whole-period growth,666,CONCON - EXPCON,NA,0.035434634613338505,Inf,NA,1.41349136749629,0.4908221184485734,0.05008655013633921
Growth,Whole-period growth,666,CONCON - EXPEXP,NA,0.03497999171286515,Inf,NA,1.003869108925577,0.7471448746944214,0.035115333111018006
Growth,Whole-period growth,666,CONEXP - EXPCON,NA,0.03554771681988679,Inf,NA,0.6109914639215687,0.9286280717617269,0.021719351538852
Growth,Whole-period growth,666,CONEXP - EXPEXP,NA,0.03513012037741485,Inf,NA,0.19208970652628815,0.9974891712165708,0.006748134513530794
Growth,Whole-period growth,666,EXPCON - EXPEXP,NA,0.034604349499539284,Inf,NA,-0.43263974736818933,0.9728712028456591,-0.014971217025321205
D12_SMI,Scaled mass index at day 12,681,CONCON - CONEXP,NA,0.29750394525813123,Inf,NA,0.8115546902709585,0.8490473156146738,0.24144072214835088
