response,response_label,model_name,model_family,dispersion_formula,AIC,delta_AIC,selected_model
D2_MASS,Day-2 body mass,student_mean,Student-t,~ 1,1622.6697292963202,0,FALSE
D2_MASS,Day-2 body mass,student_scale,Student-t,~EXP.INC,1623.922810330864,1.2530810345438113,FALSE
D2_MASS,Day-2 body mass,gaussian_mean,Gaussian,~ 1,1628.1060500977176,5.4363208013974145,TRUE
D2_MASS,Day-2 body mass,gaussian_scale,Gaussian,~EXP.INC,1629.0965566347911,6.426827338470957,FALSE
D8_MASS,Day-8 body mass,student_mean,Student-t,~ 1,2483.762077226891,0,FALSE
D8_MASS,Day-8 body mass,student_scale,Student-t,~EXP.INC + EXP.NEST,2485.012845308568,1.2507680816770517,FALSE
D8_MASS,Day-8 body mass,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,2563.1373343086343,79.37525708174326,FALSE
D8_MASS,Day-8 body mass,gaussian_mean,Gaussian,~ 1,2566.5122933690304,82.75021614213938,TRUE
D12_MASS,Day-12 body mass,gaussian_mean,Gaussian,~ 1,2088.365839047817,0,TRUE
D12_MASS,Day-12 body mass,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,2092.300965297652,3.935126249834866,FALSE
D12_MASS,Day-12 body mass,student_mean,Student-t,~ 1,NA,NA,FALSE
D12_MASS,Day-12 body mass,student_scale,Student-t,~EXP.INC + EXP.NEST,NA,NA,FALSE
Early.g,Early growth,student_scale,Student-t,~EXP.INC + EXP.NEST,-615.0252247440455,0,FALSE
Early.g,Early growth,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,-551.7603050423484,63.26491970169718,FALSE
Early.g,Early growth,gaussian_mean,Gaussian,~ 1,-541.6417201417014,73.38350460234415,TRUE
Early.g,Early growth,student_mean,Student-t,~ 1,NA,NA,FALSE
Late.g,Late growth,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,103.72115743471454,0,FALSE
Late.g,Late growth,gaussian_mean,Gaussian,~ 1,116.73021491707499,13.009057482360447,TRUE
Late.g,Late growth,student_mean,Student-t,~ 1,NA,NA,FALSE
Late.g,Late growth,student_scale,Student-t,~EXP.INC + EXP.NEST,NA,NA,FALSE
Growth,Whole-period growth,student_mean,Student-t,~ 1,-1050.6485807490342,0,FALSE
Growth,Whole-period growth,student_scale,Student-t,~EXP.INC + EXP.NEST,-1049.5427076557294,1.1058730933048082,FALSE
Growth,Whole-period growth,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,-1024.9108932634015,25.737687485632705,FALSE
Growth,Whole-period growth,gaussian_mean,Gaussian,~ 1,-1021.7134276464185,28.935153102615686,TRUE
D12_SMI,Day-12 scaled mass index,student_mean,Student-t,~ 1,2243.7004731701727,0,FALSE
D12_SMI,Day-12 scaled mass index,gaussian_mean,Gaussian,~ 1,2245.2586854067804,1.5582122366076874,TRUE
D12_SMI,Day-12 scaled mass index,student_scale,Student-t,~EXP.INC + EXP.NEST,2246.8964125415123,3.195939371339591,FALSE
D12_SMI,Day-12 scaled mass index,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,2247.884279969867,4.183806799694139,FALSE
D12_RTARS,Day-12 tarsus length,student_mean,Student-t,~ 1,1057.0436869662678,0,FALSE
D12_RTARS,Day-12 tarsus length,student_scale,Student-t,~EXP.INC + EXP.NEST,1059.0602942437774,2.0166072775095927,FALSE
D12_RTARS,Day-12 tarsus length,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,1084.4850858853783,27.441398919110497,FALSE
D12_RTARS,Day-12 tarsus length,gaussian_mean,Gaussian,~ 1,1086.6718976082689,29.628210642001022,TRUE
D12_SURV,Day-12 survival,binomial,Binomial,not used,481.3857820959839,0,TRUE
